# Rydberg Spin Chain Adiabatic Preparation Results
# Protocol Stage 3 (T3) Analysis

# Simulation Parameters
Parameter,Value,Description
System_size_N,11,Number of atoms in chain
Vdd,2000000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,15,Number of atoms in chain
Vdd,2000000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,21,Number of atoms in chain
Vdd,160000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,31,Number of atoms in chain
Vdd,2000000.0,Interaction strength
Number_of_simulations,100,Runs per data point
System_size_N,11,Number of atoms in chain
Vdd,2000000.0,Interaction strength

# Clean (Noiseless) Preparation Results for 11 sites
Ramp_time_T3,Final_Energy_per_site,Final_Fidelity,Ground_state_energy_per_site
9.0,0.049407854949299335,0.2525847851338065,-0.5385558517565283
30.0,0.014197807442046573,0.7551192932060206,-0.5385558517565283
45.0,0.007521616985724733,0.8697064401652587,-0.5385558517565283
60.0,0.003769673482129088,0.9344815043445414,-0.5385558517565283
90.0,0.0009787782972897618,0.9829312042609092,-0.5385558517565283
120.0,0.0002140243716215462,0.9962110320499625,-0.5385558517565283
150.0,5.8238358103368526e-05,0.998924092123947,-0.5385558517565283
180.0,2.191557325736948e-05,0.9995593875562843,-0.5385558517565283
225.0,4.20572694515009e-06,0.9998747361280359,-0.5385558517565283
250.0,2.1461095743857683e-06,0.9999137221434969,-0.5385558517565283
300.0,2.352300122465678e-07,0.9999517821439721,-0.5385558517565283

# Noisy Preparation Results by System Size
# System Size N = 11
Ramp_time_T3,Avg_Energy_per_site,Energy_error,Avg_Fidelity,Fidelity_error,Num_simulations,Ground_state_energy_per_site
9.0,0.04993098843906457,3.280706784101451e-05,0.2510000547565776,0.00019064108476262673,100,-0.5385558517565966
30.0,0.015965378717339496,0.0001639211183103947,0.7353848697058392,0.0018182760880858836,100,-0.5385558517565966
45.0,0.009984300088095588,0.0001869458732363735,0.8405162146617262,0.0022481756244748688,100,-0.5385558517565966
60.0,0.007598211038093661,0.00029411132606292254,0.8874908821118704,0.003614830558727242,100,-0.5385558517565966
90.0,0.00728449356437455,0.0004439251161509672,0.9040287352178403,0.005580463948482794,100,-0.5385558517565966
120.0,0.0075734464877414975,0.0005606346633521176,0.9040750287757261,0.0070234491452950965,100,-0.5385558517565966
150.0,0.00882391840448793,0.0006117808861696159,0.889851058148515,0.007627780889150812,100,-0.5385558517565966
180.0,0.010575540606073797,0.0007478866054555187,0.8691421446209643,0.009341429671599625,100,-0.5385558517565966
225.0,0.014097076369048445,0.0008864772225864743,0.8282742094679277,0.010864035143754997,100,-0.5385558517565966
250.0,0.0163874471710741,0.0009974528094796895,0.8028200752149348,0.011833553260217334,100,-0.5385558517565966
300.0,0.018144340007544724,0.0009873483066200138,0.7864662442612801,0.011205073911499785,100,-0.5385558517565966
360.0,0.02126382996122511,0.0011103118120475415,0.7505936250728819,0.012970903497223019,100,-0.5385558517565966
400.0,0.023135917005606688,0.001365259356463921,0.7345076164982689,0.015373616580057986,100,-0.5385558517565966
450.0,0.027051369030387518,0.0013894889608980924,0.6939059387990238,0.01567071129976748,100,-0.5385558517565966
450.0,0.027034757295283818,0.0014665425426618752,0.6913550943572416,0.017153507116780358,100,-0.5385558517565966

# System Size N = 15
